Table S2. (B) Primary screen extracted image features.,,,,,,,,,,,
feature,Analogous CellProfiler feature,description,Feature transformation,Used by interphase/mitotic cell support vector classifier,Used in interphase PHATE analysis,Used in mitotic PHATE analysis,Interphase heatmap display name,Mitotic heatmap display name,,,
cell_dapi_frac_at_d_1,RadialDistribution_FracAtD_{channel}_2of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the second ring from the center",,,,TRUE,,,,,
cell_dapi_frac_at_d_2,RadialDistribution_FracAtD_{channel}_3of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the third ring from the center",,,,TRUE,,,,,
cell_dapi_frac_at_d_3,RadialDistribution_FracAtD_{channel}_4of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the outermost ring",,,,,,,,,
cell_dapi_mean_frac_0,RadialDistribution_MeanFrac_{channel}_1of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the innermost ring; calculated as the fraction of the object's total integrated DAPI channel intensity that is within this ring, normalized by the relative area of the ring.",,,TRUE,TRUE,,,,,
cell_dapi_mean_frac_1,RadialDistribution_MeanFrac_{channel}_2of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the second ring from the center; calculated as the fraction of the segmented cell's total integrated DAPI channel intensity that is within this ring, normalized by the relative area of the ring.",,,,TRUE,,,,,
cell_dapi_mean_frac_2,RadialDistribution_MeanFrac_{channel}_3of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the third ring from the center; calculated as the fraction of the segmented cell's total integrated DAPI channel intensity that is within this ring, normalized by the relative area of the ring.",,TRUE,TRUE,TRUE,,,,,
cell_dapi_mean_frac_3,RadialDistribution_MeanFrac_{channel}_4of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the outermost ring; calculated as the fraction of the segmented cell's total integrated DAPI channel intensity that is within this ring, normalized by the relative area of the ring.",,TRUE,TRUE,TRUE,,,,,
cell_dapi_radial_cv_0,RadialDistribution_RadialCV_{channel}_1of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of DAPI channel intensity within the innermost ring, calculated using the mean intensities of the eight wedges",,,TRUE,TRUE,,,,,
cell_dapi_radial_cv_1,RadialDistribution_RadialCV_{channel}_2of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of DAPI channel intensity within the second ring from the center, calculated using the mean intensities of the eight wedges",,TRUE,TRUE,TRUE,,,,,
cell_dapi_radial_cv_2,RadialDistribution_RadialCV_{channel}_3of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of DAPI channel intensity within the third ring from the center, calculated using the mean intensities of the eight wedges",,,TRUE,TRUE,,,,,
cell_dapi_radial_cv_3,RadialDistribution_RadialCV_{channel}_4of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of DAPI channel intensity within the outermost ring, calculated using the mean intensities of the eight wedges",,,TRUE,TRUE,,,,,
cell_dapi_weighted_hu_moments_0,,"First Hu Moment (translation, scale, rotation invariant) of DAPI channel intensity within the segmented cell",log(feature),,,TRUE,,,,,
cell_dapi_weighted_hu_moments_1,,"Second Hu Moment (translation, scale, rotation invariant) of DAPI channel intensity within the segmented cell",log(feature),,TRUE,TRUE,,,,,
cell_dapi_weighted_hu_moments_2,,"Third Hu Moment (translation, scale, rotation invariant) of DAPI channel intensity within the segmented cell",log(feature),TRUE,,TRUE,,,,,
cell_dapi_weighted_hu_moments_3,,"Fourth Hu Moment (translation, scale, rotation invariant) of DAPI channel intensity within the segmented cell",log(feature),TRUE,TRUE,TRUE,,,,,
cell_dapi_weighted_hu_moments_4,,"Fifth Hu Moment (translation, scale, rotation invariant) of DAPI channel intensity within the segmented cell",,,TRUE,,,,,,
cell_dapi_weighted_hu_moments_5,,"Sixth Hu Moment (translation, scale, rotation invariant) of DAPI channel intensity within the segmented cell",,,TRUE,TRUE,,,,,
cell_dapi_weighted_hu_moments_6,,"Seventh Hu Moment (translation, scale, rotation invariant) of DAPI channel intensity within the segmented cell",,,TRUE,,,,,,
cell_tubulin_frac_at_d_0,RadialDistribution_FracAtD_{channel}_1of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the innermost ring",,,TRUE,TRUE,,,,,
cell_tubulin_frac_at_d_1,RadialDistribution_FracAtD_{channel}_2of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the second ring from the center",,,,,,,,,
cell_tubulin_frac_at_d_2,RadialDistribution_FracAtD_{channel}_3of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the third ring from the center",,TRUE,,TRUE,,,,,
cell_tubulin_frac_at_d_3,RadialDistribution_FracAtD_{channel}_4of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the outermost ring",,,,TRUE,,,,,
cell_tubulin_mean_frac_0,RadialDistribution_MeanFrac_{channel}_1of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the innermost ring; calculated as the fraction of the object's total integrated tubulin channel intensity that is within this ring, normalized by the relative area of the ring.",,,TRUE,TRUE,,,,,
cell_tubulin_mean_frac_1,RadialDistribution_MeanFrac_{channel}_2of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the second ring from the center; calculated as the fraction of the segmented cell's total integrated tubulin channel intensity that is within this ring, normalized by the relative area of the ring.",,,,TRUE,,,,,
cell_tubulin_mean_frac_2,RadialDistribution_MeanFrac_{channel}_3of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the third ring from the center; calculated as the fraction of the segmented cell's total integrated tubulin channel intensity that is within this ring, normalized by the relative area of the ring.",,TRUE,TRUE,TRUE,,,,,
cell_tubulin_mean_frac_3,RadialDistribution_MeanFrac_{channel}_4of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the mean fractional intensity within the outermost ring; calculated as the fraction of the segmented cell's total integrated tubulin channel intensity that is within this ring, normalized by the relative area of the ring.",,TRUE,TRUE,TRUE,,Cell tubulin mean radial fraction 4/4,,,
cell_tubulin_radial_cv_0,RadialDistribution_RadialCV_{channel}_1of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of tubulin channel intensity within the innermost ring, calculated using the mean intensities of the eight wedges",,,TRUE,TRUE,,,,,
cell_tubulin_radial_cv_1,RadialDistribution_RadialCV_{channel}_2of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of tubulin channel intensity within the second ring from the center, calculated using the mean intensities of the eight wedges",,TRUE,TRUE,TRUE,,,,,
cell_tubulin_radial_cv_2,RadialDistribution_RadialCV_{channel}_3of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of tubulin channel intensity within the third ring from the center, calculated using the mean intensities of the eight wedges",,TRUE,,TRUE,,,,,
cell_tubulin_radial_cv_3,RadialDistribution_RadialCV_{channel}_4of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. The cell is then divided into eight wedges, each comprised of a 45 degree slice from the center of the concentric rings. This feature is the coefficient of variation of tubulin channel intensity within the outermost ring, calculated using the mean intensities of the eight wedges",,TRUE,,TRUE,,,,,
cell_tubulin_weighted_hu_moments_0,,"First Hu Moment (translation, scale, rotation invariant) of tubulin channel intensity within the segmented cell",log(feature),,,TRUE,,,,,
cell_tubulin_weighted_hu_moments_1,,"Second Hu Moment (translation, scale, rotation invariant) of tubulin channel intensity within the segmented cell",log(feature),TRUE,TRUE,TRUE,,,,,
cell_tubulin_weighted_hu_moments_2,,"Third Hu Moment (translation, scale, rotation invariant) of tubulin channel intensity within the segmented cell",log(feature),,TRUE,TRUE,,,,,
cell_tubulin_weighted_hu_moments_3,,"Fourth Hu Moment (translation, scale, rotation invariant) of tubulin channel intensity within the segmented cell",log(feature),,TRUE,TRUE,,,,,
cell_tubulin_weighted_hu_moments_4,,"Fifth Hu Moment (translation, scale, rotation invariant) of tubulin channel intensity within the segmented cell",,,TRUE,,,,,,
